title,description,price,count
Wireless Headphones,Noise-cancelling over-ear Bluetooth headphones,89.99,15
Mechanical Keyboard,Compact TKL mechanical keyboard with RGB backlight,129.99,8
USB-C Hub,7-in-1 USB-C hub with HDMI and PD charging,45.00,25
Laptop Stand,Adjustable aluminium laptop stand for desks,35.50,30
Webcam HD,1080p HD webcam with built-in microphone,59.99,12
Mouse Pad XL,Extended gaming mouse pad 900x400mm,22.00,40
LED Desk Lamp,Touch-dimmable LED desk lamp with USB charging port,49.99,18
Portable SSD,500GB portable USB-C solid state drive,79.00,10
Monitor Light,Screenbar monitor-mounted LED reading lamp,55.00,7
Phone Stand,Foldable aluminium phone and tablet stand,15.99,50

